MarriedID,MaritalStatusID,GenderID,DeptID,PerfScoreID,FromDiversityJobFairID,Salary,Termd,PositionID,HispanicLatino,ManagerID,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,DaysLateLast30,Absences,Age,CitizenDesc_Non-Citizen,CitizenDesc_US Citizen,RaceDesc_Asian,RaceDesc_Black or African American,RaceDesc_Hispanic,RaceDesc_Two or more races,RaceDesc_White,RecruitmentSource_Diversity Job Fair,RecruitmentSource_Employee Referral,RecruitmentSource_Google Search,RecruitmentSource_Indeed,RecruitmentSource_LinkedIn,RecruitmentSource_On-line Web application,RecruitmentSource_Other,RecruitmentSource_Website
0,3,0,4,4,0,55709,1,20,0,2.0,5.0,3,0,0,4,38,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False
0,0,1,5,3,0,65598,1,21,1,12.0,3.0,5,0,0,14,44,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False
0,0,1,5,3,0,70136,1,19,0,12.0,4.0,2,0,0,2,42,False,True,False,False,False,False,True,False,True,True,False,False,False,False,False
1,1,0,5,3,0,110904,0,3,0,2.0,3.0,4,0,0,9,60,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
1,0,0,5,3,0,113733,0,8,0,5.0,5.0,3,0,0,9,40,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False
1,0,1,5,3,0,62308,1,18,0,22.0,5.0,5,0,0,4,50,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
1,1,0,5,4,0,51760,0,20,0,7.0,4.0,4,0,0,15,48,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
0,1,1,1,3,0,68632,0,20,0,7.0,5.0,5,0,0,17,56,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
0,2,0,5,3,0,77666,1,19,0,9.0,5.0,5,4,0,4,40,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
1,0,0,5,3,0,65207,0,19,1,2.0,4.0,3,0,0,13,37,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False
0,1,1,5,3,0,106009,1,20,0,21.0,4.0,4,0,0,4,42,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False
