MarriedID,MaritalStatusID,GenderID,DeptID,PerfScoreID,FromDiversityJobFairID,Salary,Termd,PositionID,HispanicLatino,ManagerID,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,DaysLateLast30,Absences,Age,CitizenDesc_Non-Citizen,CitizenDesc_US Citizen,RaceDesc_Asian,RaceDesc_Black or African American,RaceDesc_Hispanic,RaceDesc_Two or more races,RaceDesc_White,RecruitmentSource_Diversity Job Fair,RecruitmentSource_Employee Referral,RecruitmentSource_Google Search,RecruitmentSource_Indeed,RecruitmentSource_LinkedIn,RecruitmentSource_On-line Web application,RecruitmentSource_Other,RecruitmentSource_Website
0,0,0,5,3,0,52202,1,19,1,22.0,3.58,5,0,0,7,34,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False
0,3,1,6,3,0,59175,0,3,1,17.0,4.19,4,0,0,1,35,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,4,1,5,4,0,57616,1,19,1,11.0,3.79,5,0,0,3,47,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
0,3,0,5,1,0,50557,1,19,1,19.0,4.24,5,8,0,15,42,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False
1,1,1,5,4,0,55598,0,20,1,12.0,3.0,3,0,0,13,39,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
0,0,0,5,3,0,52255,1,19,0,11.0,5.0,3,4,0,17,53,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False
0,2,0,5,1,0,50263,0,19,0,22.0,3.53,4,0,6,3,37,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False
1,1,0,6,1,0,70485,0,3,0,17.0,4.47,5,0,0,19,59,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
0,0,1,5,4,0,52939,1,19,0,39.0,3.64,3,0,0,4,35,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
0,3,0,5,1,0,71993,0,20,0,16.0,4.35,5,0,0,20,49,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False
0,4,1,3,3,0,66175,0,14,0,6.0,4.67,5,5,0,16,55,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
0,0,0,5,1,0,54335,1,19,1,39.0,3.62,3,0,0,8,50,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True
0,0,1,3,3,0,98886,1,8,1,4.0,4.46,3,0,0,9,41,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
0,2,0,6,1,0,63979,0,3,1,21.0,4.18,3,0,0,11,46,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
0,2,1,3,3,0,221347,0,6,1,2.0,4.6,4,0,0,16,48,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
0,0,0,5,4,0,60420,1,20,1,16.0,4.42,3,0,0,14,63,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1,1,1,5,4,0,50325,0,19,1,18.0,4.17,5,0,0,19,37,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1,1,0,5,1,0,71461,1,20,1,20.0,4.66,5,0,0,2,55,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False
0,0,1,5,1,0,60758,0,19,0,39.0,4.33,3,0,0,17,52,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False
0,4,1,1,2,0,64698,0,1,1,1.0,5.0,3,6,0,9,42,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
0,3,1,5,2,0,65791,0,19,1,19.0,4.19,4,0,4,13,66,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False
0,4,1,3,3,0,49554,0,15,0,7.0,3.21,3,0,0,11,42,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
0,0,0,5,3,0,50451,0,19,1,11.0,5.0,3,6,0,3,52,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
0,4,0,3,3,0,67859,1,14,1,6.0,4.56,3,0,0,14,40,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False
0,2,1,5,4,0,56530,1,19,1,22.0,4.0,2,6,0,19,37,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False
0,3,0,5,2,0,64037,0,20,1,18.0,3.82,3,0,5,1,44,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
1,1,1,5,4,0,84638,0,18,1,2.0,4.24,4,0,0,13,42,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False
1,1,1,6,3,0,59716,0,3,0,17.0,4.26,5,0,0,9,36,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False
0,0,1,5,1,1,58907,1,20,0,14.0,3.61,3,0,3,13,35,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
0,0,0,5,4,0,48461,0,19,0,39.0,5.0,5,0,0,17,53,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
